total_bill,tip,tip_percent,smoker,day,time,size
16.99,1.01,6,No,Sun,Dinner,2
10.34,1.66,16,No,Sun,Dinner,3
21.01,3.5,17,No,Sun,Dinner,3
23.68,3.31,14,No,Sun,Dinner,2
24.59,3.61,15,No,Sun,Dinner,4
25.29,4.71,19,No,Sun,Dinner,4
8.77,2,23,No,Sun,Dinner,2
26.88,3.12,12,No,Sun,Dinner,4
15.04,1.96,13,No,Sun,Dinner,2
14.78,3.23,22,No,Sun,Dinner,2
10.27,1.71,17,No,Sun,Dinner,2
35.26,5,14,No,Sun,Dinner,4
15.42,1.57,10,No,Sun,Dinner,2
18.43,3,16,No,Sun,Dinner,4
14.83,3.02,20,No,Sun,Dinner,2
21.58,3.92,18,No,Sun,Dinner,2
10.33,1.67,16,No,Sun,Dinner,3
16.29,3.71,23,No,Sun,Dinner,3
16.97,3.5,21,No,Sun,Dinner,3
20.65,3.35,16,No,Sat,Dinner,3
17.92,4.08,23,No,Sat,Dinner,2
20.29,2.75,14,No,Sat,Dinner,2
15.77,2.23,14,No,Sat,Dinner,2
39.42,7.58,19,No,Sat,Dinner,4
19.82,3.18,16,No,Sat,Dinner,2
17.81,2.34,13,No,Sat,Dinner,4
13.37,2,15,No,Sat,Dinner,2
12.69,2,16,No,Sat,Dinner,2
21.7,4.3,20,No,Sat,Dinner,2
19.65,3,15,No,Sat,Dinner,2
9.55,1.45,15,No,Sat,Dinner,2
18.35,2.5,14,No,Sat,Dinner,4
15.06,3,20,No,Sat,Dinner,2
20.69,2.45,12,No,Sat,Dinner,4
17.78,3.27,18,No,Sat,Dinner,2
24.06,3.6,15,No,Sat,Dinner,3
16.31,2,12,No,Sat,Dinner,3
16.93,3.07,18,No,Sat,Dinner,3
18.69,2.31,12,No,Sat,Dinner,3
31.27,5,16,No,Sat,Dinner,3
16.04,2.24,14,No,Sat,Dinner,3
17.46,2.54,15,No,Sun,Dinner,2
13.94,3.06,22,No,Sun,Dinner,2
9.68,1.32,14,No,Sun,Dinner,2
30.4,5.6,18,No,Sun,Dinner,4
